CountryName,Date,MonthlyChangeSA,lag_1,lag_2,lag_3,lag_6,lag_12,rolling_mean_3,rolling_std_3,rolling_mean_6,rolling_std_6,rolling_mean_12,rolling_std_12,month,year,quarter,month_sin,month_cos
Afghanistan,2021-10-01,1.0,-0.5,3.5,3.0,-2.0,0.5,1.3333333333333333,2.02072594216369,1.1666666666666667,1.693123346560039,0.4583333333333333,1.5293839124023607,10,2021,4,-0.8660254037844386,0.5000000000000001
Afghanistan,2021-11-01,0.5,1.0,-0.5,3.5,0.0,1.0,0.3333333333333333,0.7637626158259716,1.25,1.6355427233796125,0.4166666666666667,1.5200677815828019,11,2021,4,-0.5000000000000004,0.8660254037844384
Afghanistan,2021-12-01,4.5,0.5,1.0,-0.5,0.0,-0.5,2.0,2.179449471770336,2.0,1.9493588689617927,0.8333333333333334,1.8869568253158473,12,2021,4,-2.4492935982947064e-16,1.0
Afghanistan,2022-01-01,0.0,4.5,0.5,1.0,3.0,0.0,1.6666666666666667,2.466441431158123,1.5,2.0248456731316584,0.8333333333333334,1.8869568253158473,1,2022,1,0.49999999999999994,0.8660254037844387
Afghanistan,2022-02-01,-1.5,0.0,4.5,0.5,3.5,0.5,1.0,3.1224989991991987,0.6666666666666666,2.0655911179772892,0.6666666666666666,2.003784298558983,2,2022,1,0.8660254037844386,0.5000000000000001
Afghanistan,2022-03-01,-1.0,-1.5,0.0,4.5,-0.5,-0.5,-0.8333333333333334,0.763762615825971,0.5833333333333334,2.131118642090737,0.625,2.0352015758999045,3,2022,1,1.0,6.123233995736766e-17
Afghanistan,2022-04-01,0.5,-1.0,-1.5,0.0,1.0,-2.0,-0.6666666666666666,1.0408329997330645,0.5,2.121320343559643,0.8333333333333334,1.862712261648849,4,2022,2,0.8660254037844387,-0.4999999999999998
Afghanistan,2022-05-01,2.0,0.5,-1.0,-1.5,0.5,0.0,0.5,1.499999999999999,0.75,2.207940216581962,1.0,1.8708286933869709,5,2022,2,0.49999999999999994,-0.8660254037844387
Afghanistan,2022-06-01,4.5,2.0,0.5,-1.0,4.5,0.0,2.3333333333333335,2.0207259421636894,0.75,2.207940216581962,1.375,2.0902914107411394,6,2022,2,1.2246467991473532e-16,-1.0
Afghanistan,2022-07-01,0.5,4.5,2.0,0.5,0.0,3.0,2.3333333333333335,2.0207259421636894,0.8333333333333334,2.1832697191750423,1.1666666666666667,2.0375267241229382,7,2022,3,-0.4999999999999997,-0.8660254037844388
